id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	13c nmr	0.6716	0.143	6	652	1381	86	2015.6163
2	13c nmr spectroscopy	0.7429	0.2642	6	133	180	13	2013.6154
3	1h nmr	0.5122	0.1794	6	1470	5190	335	2014.6418
4	1h nmr analysis	0.6963	0.1176	6	193	255	14	2013.5
5	1h nmr spectroscopy	0.6415	0.1969	6	216	298	20	2013.95
6	1h nuclear magnetic resonance	0.4151	0.1974	6	386	700	43	2014.8605
7	1h nuclear magnetic resonance spectroscopy	0.9577	0.0959	1	127	164	10	2014.4
8	1hnmr	0.5126	0.1958	6	133	173	12	2015.9167
9	306th hospital	-1.2176	-0.1473	2	194	266	11	2015.0909
10	3d bioprinting	-0.2289	0.0398	5	98	127	11	2018
11	3d culture	-0.4694	0.1162	5	217	330	19	2016.0526
12	3d model	-0.1215	-0.1141	1	289	410	31	2018
13	3d object	0.4197	-0.1575	1	108	157	14	2018.7857
14	3d print	0.3091	-0.1755	1	114	143	15	2018.4667
15	3d printed part	0.5699	-0.192	1	209	327	33	2018.7879
16	3d printed scaffold	-0.0993	-0.0075	5	95	129	11	2019.5455
17	3d printer	0.3413	-0.1746	1	683	1732	188	2018.2606
18	3d printing application	0.8676	-0.1858	1	206	290	24	2018.9583
19	3d printing filament	0.6453	-0.1321	1	170	223	21	2019.0476
20	3d printing material	0.4659	-0.1445	1	117	149	18	2018.5
21	3d printing process	0.5385	-0.1675	1	284	429	49	2018.6939
22	3d scaffold	-0.1138	0.0463	5	479	869	72	2016.0556
23	3hb	0.0474	-0.0131	3	111	232	22	2015.5455
24	3hb co	0.7356	-0.0668	1	165	235	16	2015.0625
25	4d printing	0.5955	-0.1384	1	85	108	11	2019
26	95d cell	-0.919	0.3099	3	153	254	11	2018.9091
27	a549	-0.762	0.3247	3	340	673	30	2017.6667
28	aba triblock copolymer	0.7378	0.1966	6	163	243	17	2015.1176
29	abc	-0.1465	0.2678	4	254	291	16	2015.25
30	abdomen	-1.1126	-0.0246	2	204	279	16	2015.625
31	abdominal pain	-1.2815	-0.0485	2	343	726	33	2014.6061
32	abiotic hydrolysis	0.6647	-0.0944	1	74	93	12	2015.4167
33	ablation	-0.2381	0.0213	2	799	1702	228	2015.6404
34	abnormality	-0.9736	-0.0416	2	746	1339	66	2015.3485
35	abs	0.4676	-0.1754	1	802	2340	247	2018.0324
36	abscess	-1.1765	-0.0691	2	453	1280	58	2015.1897
37	absolute value	-0.3515	-0.122	2	280	341	19	2016.2105
38	absorbed dose	1.1058	-0.0959	1	87	149	14	2014.5714
39	abundance	-0.4804	-0.0185	3	688	1180	81	2015.9383
40	accounting	-0.1975	-0.1622	2	264	347	23	2015.6522
41	accumulation	-0.3735	0.1391	4	1726	4706	282	2015.9255
42	accuracy	-0.2153	-0.156	2	1171	2639	236	2017.3432
43	acetic anhydride	1.0094	-0.0732	1	171	233	17	2015.5294
44	acetyl	0.854	-0.0578	1	131	220	20	2015.45
45	acetyl tributyl citrate	1.0862	-0.1393	1	215	396	31	2016.129
46	acid hydrolysis	1.0605	-0.1185	1	390	826	61	2015.918
47	acid oxidase	-0.7288	0.0522	3	134	240	12	2013.8333
48	acid residue	-0.5096	0.1197	3	247	386	25	2014.32
49	acid sequence	-0.5236	0.076	3	201	299	19	2013.6316
50	acidic condition	0.0034	0.2486	4	300	396	26	2016.7308
51	acidic environment	-0.2725	0.2619	4	197	261	17	2016.7647
52	acidic ph	-0.115	0.3068	4	300	446	28	2016.0714
53	acidification	0.2741	-0.1431	1	271	428	32	2015.125
54	acl	-0.5225	-0.1505	2	271	558	33	2015.3333
55	acl reconstruction	-0.6768	-0.1661	2	160	355	19	2014
56	acm	1.3026	-0.0319	1	97	146	10	2017.5
57	acp	-0.576	0.0176	2	192	326	22	2015.3636
58	acr	0.4959	-0.1016	1	127	171	12	2014.9167
59	acrylic rubber	1.2857	-0.0392	1	123	196	13	2017.0769
60	acrylonitrile butadiene styrene	0.4377	-0.1797	1	479	1046	109	2018.055
61	acs	-1.0865	-0.1224	2	394	672	24	2015.75
62	acth	-1.1931	-0.1336	2	139	220	11	2016.3636
63	actin	-0.6523	0.159	5	415	652	37	2015.4324
64	actin filament	-0.3876	0.1184	5	94	113	11	2014.9091
65	activation	-0.6276	0.1029	3	2264	9232	521	2015.5931
66	activation energy	1.0847	-0.0264	1	1106	3449	264	2015.6742
67	activator	-0.4763	0.1544	3	658	1174	64	2016.1094
68	active catalyst	0.6748	0.2854	6	164	335	20	2016.25
69	active film	0.4855	-0.0841	1	180	330	29	2017.7931
70	active food packaging	0.6101	-0.1013	1	158	251	27	2017.9259
71	active food packaging application	0.6509	-0.0758	1	84	102	11	2016.9091
72	active male	-1.0967	-0.4667	7	286	611	25	2016.44
73	active man	-1.1132	-0.3746	7	281	580	21	2017.1905
74	active packaging	0.4703	-0.0861	1	298	565	68	2016.6324
75	active site	-0.2213	0.0709	3	363	629	52	2015.2692
76	acute	-1.0092	-0.1351	7	196	234	12	2014.8333
77	acute coronary syndrome	-1.238	-0.1255	2	418	831	27	2014.5926
78	acute effect	-1.0414	-0.3601	7	267	460	20	2017.7
79	acute ingestion	-1.0836	-0.4157	7	180	264	10	2018
80	acute kidney injury	-1.351	-0.1153	2	191	360	13	2016.8462
81	acute myocardial infarction	-1.1469	-0.0352	2	335	569	22	2014.5
